Gene	CHE_AS	CHE_IF	HKG_AS	HKG_IF	IND_AS	IND_IF	SWE_AS	SWE_IF	USA_AS	USA_IF
sul1	2 	3 	13 	15 	11 	125 	3 	2 	3 	13 
blaNPS-1	0 	0 	60 	113 	2 	9 	0 	0 	0 	0 
mph(E)	0 	55 	0 	2 	1 	18 	0 	8 	0 	85 
msr(E)	0 	48 	0 	1 	0 	16 	0 	6 	1 	64 
aph(6)-Id	1 	5 	3 	31 	7 	34 	1 	3 	0 	11 
aph(3'')-Ib	1 	7 	3 	29 	7 	32 	2 	3 	0 	10 
tet(Q)	0 	10 	0 	4 	0 	25 	0 	15 	0 	16 
aadA1	0 	6 	4 	5 	1 	38 	0 	0 	1 	8 
mef(A)	0 	1 	8 	3 	0 	21 	0 	24 	0 	2 
erm(F)	0 	8 	4 	0 	3 	30 	0 	5 	0 	10 
tet(C)	0 	0 	2 	3 	0 	45 	0 	2 	0 	2 
erm(B)	0 	8 	2 	5 	0 	0 	1 	28 	1 	10 
tet(39)	0 	11 	0 	0 	0 	1 	0 	6 	0 	37 
tet(A)	0 	1 	0 	5 	0 	45 	0 	0 	0 	2 
msr(D)	0 	3 	11 	1 	0 	14 	0 	24 	0 	0 
bla-A	0 	0 	1 	1 	1 	35 	1 	2 	0 	12 
sul2	0 	1 	8 	11 	5 	12 	1 	1 	4 	1 
qnrS2	0 	1 	15 	24 	0 	1 	1 	0 	0 	3 
tet(W)	0 	5 	1 	9 	1 	13 	0 	4 	0 	2 
aadA5	0 	6 	1 	3 	3 	19 	0 	2 	0 	0 
mef(J)	0 	1 	0 	0 	0 	0 	0 	33 	0 	0 
ere(A)	0 	0 	23 	5 	0 	5 	0 	0 	1 	0 
tmexC3	0 	0 	0 	1 	18 	12 	0 	0 	0 	0 
blaOXA-464	0 	2 	0 	0 	0 	7 	0 	7 	0 	15 
dfrA1	0 	0 	0 	0 	0 	29 	0 	0 	0 	0 
aadA2	0 	0 	3 	5 	0 	14 	0 	0 	1 	5 
mph(G)	0 	7 	2 	0 	0 	9 	0 	1 	0 	9 
cfxA6	0 	5 	1 	0 	0 	14 	0 	6 	0 	1 
cmlA5	0 	1 	0 	0 	0 	24 	0 	0 	0 	1 
mef(C)	0 	6 	1 	0 	0 	8 	0 	1 	0 	9 
mph(A)	0 	0 	0 	1 	0 	20 	0 	0 	1 	1 
tet(O)	0 	4 	1 	4 	0 	6 	1 	4 	0 	4 
blaOXA-10	0 	0 	1 	3 	0 	10 	0 	2 	0 	7 
aadS	0 	1 	1 	2 	1 	13 	1 	2 	0 	1 
blaMCA	0 	9 	0 	0 	0 	2 	0 	6 	0 	5 
lnu(D)	0 	0 	0 	0 	0 	3 	0 	18 	0 	1 
lnu(H)	1 	2 	5 	0 	0 	4 	1 	2 	0 	7 
toprJ1	0 	0 	1 	2 	13 	6 	0 	0 	0 	0 
ere(D)	0 	3 	1 	0 	0 	12 	0 	1 	0 	4 
blaRSD2-2	0 	0 	0 	0 	0 	20 	0 	0 	0 	0 
qnrVC4	0 	1 	1 	0 	0 	18 	0 	0 	0 	0 
arr-3	0 	0 	0 	0 	0 	17 	0 	0 	0 	1 
dfrA14	0 	1 	0 	1 	0 	15 	0 	0 	0 	0 
aac(6')-Ib-G	0 	0 	1 	1 	0 	14 	0 	0 	0 	1 
aadA27	0 	9 	0 	0 	0 	0 	0 	1 	0 	5 
tet(X2)	0 	3 	1 	0 	0 	3 	0 	2 	1 	5 
erm(X)	0 	0 	0 	1 	0 	13 	0 	0 	0 	0 
cfxA_fam	0 	2 	1 	1 	0 	7 	0 	2 	0 	2 
tet(40)	0 	1 	0 	5 	0 	6 	0 	1 	0 	0 
tmexD2	0 	0 	1 	1 	4 	8 	0 	0 	0 	0 
qnrVC1	0 	0 	6 	0 	1 	7 	0 	0 	0 	0 
tmexD3	0 	0 	0 	1 	10 	2 	0 	0 	0 	0 
mef(B)	0 	0 	1 	0 	0 	8 	0 	1 	0 	3 
catB3	0 	0 	0 	1 	1 	11 	0 	0 	0 	1 
blaOXA-17	0 	1 	2 	2 	0 	0 	0 	0 	0 	7 
lnu(C)	0 	1 	1 	7 	0 	1 	0 	0 	0 	1 
blaOXA-347	0 	0 	0 	1 	0 	8 	0 	0 	0 	3 
blaAER-1	1 	1 	1 	0 	0 	5 	0 	1 	1 	2 
lnu(AN2)	0 	4 	0 	3 	0 	0 	0 	2 	0 	3 
aac(6')-Ib-AKT	0 	1 	0 	1 	0 	7 	0 	2 	0 	1 
tet(M)	0 	0 	2 	0 	0 	5 	0 	1 	0 	1 
sul4	0 	0 	0 	0 	5 	5 	0 	0 	0 	0 
blaVEB-1	0 	0 	1 	0 	0 	9 	0 	0 	0 	0 
ant(2'')-Ia	0 	0 	0 	0 	0 	10 	0 	0 	0 	0 
dfrB5	0 	0 	0 	0 	0 	10 	0 	0 	0 	0 
cfxA3	0 	1 	0 	0 	0 	7 	0 	0 	0 	2 
catA16	0 	1 	1 	0 	0 	7 	0 	0 	0 	0 
tet(32)	0 	0 	0 	1 	0 	6 	0 	2 	0 	1 
lnu(F)	0 	0 	4 	0 	0 	4 	0 	0 	0 	0 
blaVEB-9	0 	0 	1 	1 	0 	7 	0 	0 	0 	0 
blaOXA-129	0 	0 	0 	0 	3 	1 	0 	0 	1 	2 
blaRCP	0 	4 	1 	1 	1 	1 	0 	0 	0 	0 
aadA22	0 	0 	0 	6 	0 	1 	0 	0 	0 	1 
aadA6	0 	4 	0 	1 	0 	0 	1 	2 	0 	1 
blaOXA-296	0 	5 	0 	0 	0 	0 	0 	3 	0 	0 
cfxA	0 	1 	0 	0 	0 	3 	0 	1 	0 	3 
blaGES-14	0 	1 	0 	1 	0 	4 	0 	0 	0 	1 
blaOXA-644	0 	5 	0 	0 	0 	0 	0 	1 	0 	2 
blaGES-13	0 	0 	0 	0 	0 	7 	0 	0 	0 	0 
dfrF	0 	2 	0 	0 	0 	0 	0 	2 	1 	3 
