name	CHE_AS	CHE_IF	HKG_AS	HKG_IF	IND_AS	IND_IF	SWE_AS	SWE_IF	USA_AS	USA_IF
[Acidovorax] ebreus	47	177	32	104	46	221	37	198	24	127
[Arcobacter] porcinus	10	35	25	39	2	56	3	237	5	193
[Bacillus] caldolyticus	0	0	1	0	0	0	0	0	0	0
[Candida] glabrata	28	5	52	9	11	6	10	4	24	8
[Clostridium] colinum	8	3	20	6	13	10	4	24	5	7
[Clostridium] hylemonae	5	15	28	37	9	20	6	91	2	13
[Clostridium] innocuum	25	59	75	148	15	73	19	178	10	76
[Clostridium] scindens	22	87	67	204	11	95	12	284	7	77
[Clostridium] spiroforme	0	0	0	0	0	0	0	0	0	0
[Enterobacter] lignolyticus	14	5	37	26	22	18	8	11	9	7
[Haemophilus] ducreyi	8	1	22	14	3	5	3	3	3	2
[Mannheimia] succiniciproducens	0	0	0	0	0	0	0	0	0	0
[Mycobacterium] stephanolepidis	8	2	37	27	12	3	5	3	7	5
[Mycoplasma] phocidae	5	4	10	0	1	0	2	6	3	0
[Ochrobactrum] quorumnocens	9	5	22	21	9	2	3	3	2	3
[Pantoea] beijingensis	7	3	27	13	6	11	5	6	6	4
[Phormidium] sp. ETS-05	19	1	51	15	17	14	6	8	8	1
[Pseudomonas] zhaodongensis	13	11	59	55	19	8	14	22	11	10
[Ruminococcus] gnavus	37	310	136	951	10	183	16	831	13	256
[Ruminococcus] lactaris	0	0	0	0	0	0	0	0	0	0
[Ruminococcus] torques	0	0	0	0	0	0	0	0	0	0
Abaca bunchy top virus	0	0	1	0	0	0	0	0	0	0
Abidjanvirus ZC01	0	0	0	0	0	0	0	0	0	0
Abiotrophia defectiva	1	1	15	6	4	6	2	9	2	0
Abyssalbus ytuae	40	9	84	9	22	7	26	18	29	12
Abyssicoccus albus	7	1	16	1	4	6	3	8	3	1
Abyssogena phaseoliformis symbiont	0	0	0	0	0	0	0	0	0	0
Acadevirus PM116	0	0	0	0	0	0	0	0	0	0
Acadianvirus acadian	0	0	0	0	0	0	0	0	0	0
Acadianvirus baee	0	0	0	0	0	0	0	0	0	0
Acadianvirus reprobate	1	0	0	0	0	0	0	0	1	0
Acadianvirus serendipitous	0	0	0	0	0	0	0	0	0	0
Acajnonavirus acj9	0	0	0	0	0	0	0	0	0	0
Acanthamoeba polyphaga mimivirus	1	2	1	1	1	0	0	0	1	0
Acanthocystis turfacea chlorella virus 1	0	0	1	0	0	0	0	0	0	0
Acaryochloris marina	6	1	24	12	10	1	4	7	5	3
Acaryochloris sp. 'Moss Beach'	1	1	9	9	4	1	4	1	1	0
Acetilactobacillus jinshanensis	6	0	10	3	7	2	1	5	2	1
Acetivibrio clariflavus	0	0	0	0	0	0	0	0	0	0
Acetivibrio saccincola	12	3	27	6	7	9	13	16	4	5
Acetivibrio thermocellus	4	6	30	8	9	11	5	25	11	5
Acetoanaerobium sticklandii	13	34	69	215	24	1502	4	268	13	71
Acetobacter aceti	35	3	89	54	45	9	14	10	17	7
Acetobacter ascendens	7	1	24	4	11	5	4	1	3	2
Acetobacter ghanensis	4	3	20	9	10	3	8	1	6	8
Acetobacter orientalis	10	1	22	14	10	9	6	4	5	1
Acetobacter oryzifermentans	0	0	0	0	2	0	0	1	0	1
Acetobacter oryzoeni	2	0	6	7	4	2	0	0	0	2
Acetobacter pasteurianus	12	3	39	20	15	4	6	2	5	4
Acetobacter persici	12	1	35	27	17	6	5	3	7	1
Acetobacter pomorum	1	0	3	1	1	0	0	1	0	1
Acetobacter senegalensis	5	1	13	9	4	2	4	1	1	1
Acetobacter sp. KACC 21233	11	8	26	19	20	11	1	11	13	7
Acetobacter tropicalis	2	4	15	11	8	2	0	2	1	2
