Gene	CHE_AS	CHE_IF	HKG_AS	HKG_IF	IND_AS	IND_IF	SWE_AS	SWE_IF	USA_AS	USA_IF
sul1	1.631024448	2.519317161	12.86471236	14.83580545	10.86465291	125.1208946	2.90032075	2.473778057	3.024497282	13.33074614
blaNPS-1	0	0	59.64166279	113.1854023	2.376922727	8.736424767	0	0	0	0
mph(E)	0	55.34761752	0	1.513343988	1.479650372	17.7635406	0	7.559670475	0.299971246	85.00555582
msr(E)	0	47.78953827	0	1.065746049	0.450331614	15.89895307	0	5.992801117	0.774426589	64.43633688
aph(6)-Id	1.27938152	5.381303397	2.830321153	30.69045998	6.596099285	33.73085083	1.005317535	3.436860194	0	11.0648879
aph(3'')-Ib	0.854260017	7.218623862	2.785925862	28.50290381	6.770925554	32.35935976	1.534426314	3.225612028	0	9.695290859
tet(Q)	0	10.14244009	0	3.729974529	0	24.78664024	0	14.76022525	0	16.42633391
aadA1	0	5.991821508	3.651641657	5.167880666	0.902253519	38.48605947	0.493274716	0.436635073	0.689494672	8.445489055
mef(A)	0	1.155756485	7.843965438	2.578114599	0.271858388	21.46342706	0	24.17414345	0	1.988951274
erm(F)	0	7.62725838	3.661126867	0	3.352839655	29.57163912	0	4.868363884	0	9.914891704
tet(C)	0	0.321911189	1.616167499	2.867343946	0.162887157	44.66384579	0	1.642642876	0	2.292509301
erm(B)	0	8.21802935	1.908506561	4.684064105	0	0	0.522347192	28.02430667	0.538650503	9.666514024
tet(39)	0	10.60288419	0	0	0	0.763393218	0	5.584849968	0	36.51550905
tet(A)	0	0.649685535	0	5.295484728	0.333507793	44.65209215	0	0.238986784	0	2.246845183
msr(D)	0	2.659037014	10.91316845	0.95564917	0	14.18048201	0	23.77921812	0	0
bla-A	0	0	0.955745175	0.622604066	0.653529614	35.24813781	1.009246531	1.962400232	0	11.62890518
sul2	0.429847965	1.391971883	8.194727795	10.70391636	5.013990942	12.28255759	0.504165397	1.46357001	4.386985193	1.420120218
qnrS2	0	1.273943884	14.97288721	23.78411266	0	0.596806014	0.513402891	0.209200813	0	2.791164405
tet(W)	0	4.941430818	1.464655588	9.355540224	0.573171086	12.78943347	0	4.291483113	0	2.417089874
aadA5	0	6.372527919	0.960949081	2.603864222	3.351208213	19.19553236	0	2.467853693	0	0
