Contig	coverage	GC_content	Species	group
A	0.66 	2014.5	R6.0	ONT-2d
B	0.70 	2014.58	R7.0	ONT-2d
C	0.78 	2014.83 	R7.3	ONT-2d
D	0.72 	2014.95	R7.0	ONT-2d
E	0.62 	2014.95	R7.0	ONT-1d
F	0.72 	2015.08	R7.3	ONT-1d
G	0.74 	2015.08	R7.3	ONT-2d
111	0.85 	2015.17	R7.3	ONT-2d
112	0.81 	2015.5	R7.3	ONT-2d
113	0.79 	2015.58	R7.3	ONT-2d
114	0.85 	2015.9	R7.3	ONT-2d
115	0.65 	2016.67	R7.0	ONT-1d
116	0.71 	2016.67	R7.0	ONT-2d
117	0.68 	2016.67	R7.3	ONT-1d
118	0.83 	2016.67	R7.3	ONT-2d
119	0.92 	2016.91	R7.3	ONT-2d
120	0.92 	2017.42	R9.0	ONT-2d
121	0.88 	2017.42	R9.0	ONT-1d
122	0.70 	2017.91	R7.3	ONT-1d
123	0.90 	2017.91	R7.3	ONT-2d
124	0.90 	2017.91	R9.0	ONT-2d
125	0.85 	2017.91	R9.0	ONT-1d
126	0.89 	2017.91	R9.4	ONT-1d
127	0.94 	2018.33	R9.4	ONT-2d
128	0.86 	2018.33	R9.4	ONT-1d
129	0.86 	2019.91	R9.4	ONT-1d
130	0.90 	2020.58	R9.4	ONT-1d
131	0.94 	2021.08	R9.4	ONT-1d
132	0.82 	2022.25	QNome	QitanTech-1d
133	0.98 	2022.58	R9.4	ONT-1d
134	0.99 	2022.58	R10.4	ONT-1d
135	0.92 	2023.25	QNome	QitanTech-1d
